line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"17"	"1"	"1"	"0"	"0"	"3"	"1"	"0"	"0"	"0.5"	"2"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"53"	"1.5"	"6"	"0.5"	"2"	"1"
"17"	"4"	"4"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"4"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"67"	"1"	"4"	"0.5"	"2"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"18"	"2"	"2"	"0"	"0"	"2"	"1"	"0.5"	"2"	"0.5"	"2"	"62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"62"	"1"	"4"	"0.5"	"2"	"1"
"18"	"2"	"2"	"0"	"0"	"2"	"1"	"0.5"	"2"	"0.5"	"2"	"67"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"62"	"1"	"4"	"0.5"	"2"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19"	"2"	"2"	"0"	"0"	"2"	"1"	"1"	"4"	"0.5"	"2"	"62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"0.5"	"2"	"0.5"	"2"	"60"	"2"	"8"	"0.5"	"2"	"1"
"19"	"2"	"2"	"0"	"0"	"2"	"1"	"1"	"4"	"0.5"	"2"	"67"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"0.5"	"2"	"0.5"	"2"	"60"	"2"	"8"	"0.5"	"2"	"1"
"19"	"4"	"4"	"0"	"0"	"1"	"1"	"1"	"4"	"0.5"	"2"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"0"	"0"	"1"	"4"	"69"	"1.5"	"6"	"0.5"	"2"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"1"	"1"	"0"	"0"	"3"	"1"	"1.5"	"6"	"0.5"	"2"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"0"	"0"	"0.5"	"2"	"51"	"3"	"12"	"0.5"	"2"	"1"
"20"	"4"	"4"	"0"	"0"	"1"	"1"	"1.5"	"6"	"0.5"	"2"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"1"	"4"	"0.5"	"2"	"70"	"2"	"8"	"1"	"4"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"22"	"2"	"2"	"0"	"0"	"2"	"2"	"2"	"8"	"0.5"	"2"	"60"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"1"	"4"	"0.5"	"2"	"60"	"2.5"	"10"	"0.5"	"2"	"1"
"22"	"2"	"2"	"0"	"0"	"2"	"2"	"2"	"8"	"0.5"	"2"	"67"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"1"	"4"	"0.5"	"2"	"60"	"2.5"	"10"	"0.5"	"2"	"1"
"22"	"4"	"4"	"0"	"0"	"1"	"2"	"2"	"8"	"1"	"4"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"1.5"	"6"	"0.5"	"2"	"70"	"3.5"	"14"	"0.25"	"1"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"23"	"2"	"2"	"0"	"0"	"2"	"2"	"2.5"	"10"	"0.5"	"2"	"60"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"60"	"2"	"8"	"0.5"	"2"	"58"	"3.5"	"14"	"0.5"	"2"	"1"
"23"	"2"	"2"	"0"	"0"	"2"	"2"	"2.5"	"10"	"0.5"	"2"	"67"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"60"	"2"	"8"	"0.5"	"2"	"58"	"3.5"	"14"	"0.5"	"2"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24"	"1"	"1"	"0"	"0"	"3"	"2"	"3"	"12"	"0.5"	"2"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"53"	"1.5"	"6"	"0.5"	"2"	"50"	"4.5"	"18"	"0.5"	"2"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"25"	"2"	"2"	"0"	"0"	"2"	"2"	"3.5"	"14"	"0.5"	"2"	"58"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"60"	"2.5"	"10"	"0.5"	"2"	"58"	"4"	"16"	"0.5"	"2"	"1"
"25"	"2"	"2"	"0"	"0"	"2"	"2"	"3.5"	"14"	"0.5"	"2"	"67"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"60"	"2.5"	"10"	"0.5"	"2"	"58"	"4"	"16"	"0.5"	"2"	"1"
"25"	"4"	"4"	"0"	"0"	"1"	"2"	"3.5"	"14"	"0.25"	"1"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"70"	"2"	"8"	"1"	"4"	"72"	"3.75"	"15"	"0.25"	"1"	"0"
